,0
0,0.034284
1,0.032099413
2,0.028455413
3,0.026790138
4,0.033307759
5,0.035670203
6,0.041208106
7,0.036302568
8,0.033391279
9,0.03660505
10,0.034874906
11,0.036994779
12,0.039183084
13,0.040366135
14,0.040083286
15,0.042292918
16,0.042472379
17,0.039399229
18,0.041591516
19,0.037971809
20,0.039955825
21,0.039697585
22,0.038265735
23,0.044673382
24,0.040775836
25,0.042741221
26,0.041129715
27,0.03535739
28,0.039056817
29,0.040886282
30,0.028063405
31,0.031087202
32,0.037967441
33,0.045381913
34,0.038741852
35,0.041591855
36,0.040389946
37,0.048491931
38,0.05127071
39,0.040947267
40,0.035625995
41,0.040911119
42,0.039438554
43,0.035967283
44,0.042877084
45,0.034488579
46,0.038203311
47,0.044854945
48,0.032730053
49,0.043706025
50,0.036028187
51,0.041788222
52,0.044599593
53,0.050440215
54,0.046839705
55,0.047251736
56,0.047793161
57,0.048777934
58,0.044628434
59,0.049316797
60,0.040699651
61,0.043450861
62,0.042917519
63,0.04621461
64,0.050080416
65,0.048123226
66,0.046829441
67,0.043234755
68,0.04559863
69,0.046022665
70,0.047136363
71,0.044772496
72,0.045957886
73,0.044162515
74,0.045156888
75,0.043757571
76,0.042533161
77,0.051484367
78,0.044884494
79,0.046472691
