,0
0,0.275987
1,0.274652946
2,0.267811261
3,0.267513861
4,0.273178756
5,0.27319946
6,0.254649174
7,0.246499368
8,0.239871741
9,0.235191248
10,0.23674264
11,0.237291294
12,0.236752992
13,0.234102888
14,0.232303049
15,0.232204706
16,0.230622258
17,0.233864793
18,0.231217497
19,0.23581377
20,0.231020809
21,0.228997
22,0.214732428
23,0.226657894
24,0.22754018
25,0.218514668
26,0.225617521
27,0.22205741
28,0.219057708
29,0.220321086
30,0.212744412
31,0.216651314
32,0.215152648
33,0.211472962
34,0.208755571
35,0.21529661
36,0.209043584
37,0.204159297
38,0.209704179
39,0.20840878
40,0.213801716
41,0.226231621
42,0.206140295
43,0.206423571
44,0.216658859
45,0.2238676
46,0.210895621
47,0.215366267
48,0.217922764
49,0.216570867
50,0.215772362
51,0.213931116
52,0.223924097
53,0.216213724
54,0.226441029
55,0.224218163
56,0.22009194
57,0.216287153
58,0.223534934
59,0.219906569
60,0.225267484
61,0.220926238
62,0.225838246
63,0.223580114
64,0.225306523
65,0.210026055
66,0.226497
67,0.221899323
68,0.221343124
69,0.218875145
70,0.224609169
71,0.227886532
72,0.226671579
73,0.22391936
74,0.225345124
75,0.228093571
76,0.222960399
77,0.225365828
78,0.225331
79,0.230491455
